2024-03-11 19:31:52.731 INFO  (qtp738677855-47-null-44) [c: s: r: x:n11_restaurants t:null-44] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[9d3540db-bcb0-46a9-8380-0ec76507831b (1793259484182740992)]} 0 14
2024-03-11 19:31:53.036 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-45) [c: s: r: x:n11_restaurants t:null-45] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:31:53.040 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-45) [c: s: r: x:n11_restaurants t:null-45] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:31:53.041 INFO  (qtp738677855-18-null-45) [c: s: r: x:n11_restaurants t:null-45] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 249
2024-03-11 19:34:18.850 INFO  (qtp738677855-23-null-46) [c: s: r: x:n11_restaurants t:null-46] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[c619b906-c19e-4c96-ba35-a3c388ab3dab (1793259637399617536)]} 0 14
2024-03-11 19:34:19.172 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-47) [c: s: r: x:n11_restaurants t:null-47] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:34:19.177 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-47) [c: s: r: x:n11_restaurants t:null-47] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:34:19.179 INFO  (qtp738677855-47-null-47) [c: s: r: x:n11_restaurants t:null-47] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 323
2024-03-11 19:35:11.779 INFO  (qtp738677855-23-null-48) [c: s: r: x:n11_restaurants t:null-48] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[879145b4-8405-4072-b069-451b183ef78a (1793259692896550912)]} 0 17
2024-03-11 19:35:12.078 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-49) [c: s: r: x:n11_restaurants t:null-49] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:35:12.084 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-49) [c: s: r: x:n11_restaurants t:null-49] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:35:12.085 INFO  (qtp738677855-47-null-49) [c: s: r: x:n11_restaurants t:null-49] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 301
2024-03-11 19:36:12.892 INFO  (qtp738677855-26-null-50) [c: s: r: x:n11_restaurants t:null-50] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[f2ddb14f-6e03-4c7b-bf57-9f6a74af3eac (1793259756964544512)]} 0 31
2024-03-11 19:36:13.372 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-51) [c: s: r: x:n11_restaurants t:null-51] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:36:13.377 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-51) [c: s: r: x:n11_restaurants t:null-51] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:36:13.380 INFO  (qtp738677855-23-null-51) [c: s: r: x:n11_restaurants t:null-51] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 453
2024-03-11 19:39:39.438 INFO  (qtp738677855-27-null-52) [c: s: r: x:n11_restaurants t:null-52] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=0&wt=javabin&version=2} hits=17 status=0 QTime=1
